City1,City2,Distance
Miami,Charlotte,650.9
Charlotte,Boston,721.6
Charlotte,New+York+City,531.9
Charlotte,Philadelphia,455.1
Charlotte,Toronto,587.5
Charlotte,Chicago,588.5
Charlotte,Cleveland,434.9
Charlotte,Auburn+Hills,531.1
Charlotte,Indianapolis,429.5
Charlotte,Milwaukee,663.2
Charlotte,Atlanta,227.9
Atlanta,Boston,938
Atlanta,New+York+City,747.9
Atlanta,Philadelphia,670.4
Atlanta,Toronto,734.1
Atlanta,Chicago,584.6
Atlanta,Cleveland,552.9
Atlanta,Auburn+Hills,618
Atlanta,Indianapolis,425.6
Atlanta,Milwaukee,669.5
Milwaukee,Boston,862.8
Milwaukee,New+York+City,741.5
Milwaukee,Philadelphia,697.2
Milwaukee,Toronto,434.2
Milwaukee,Chicago,85.85
Milwaukee,Cleveland,340.3
Milwaukee,Auburn+Hills,241.3
Milwaukee,Indianapolis,245.6
Indianapolis,Boston,808.3
Indianapolis,New+York+City,648
Indianapolis,Philadelphia,585.1
Indianapolis,Toronto,440
Indianapolis,Chicago,163.3
Indianapolis,Cleveland,262.4
Indianapolis,Auburn+Hills,250.6
Auburn+Hills,Boston,624.2
Auburn+Hills,New+York+City,500.8
Auburn+Hills,Philadelphia,459.9
Auburn+Hills,Toronto,206.5
Auburn+Hills,Chicago,234.8
Auburn+Hills,Cleveland,115.3
Cleveland,Boston,552.3
Cleveland,New+York+City,408
Cleveland,Philadelphia,358.1
Cleveland,Toronto,190.3
Cleveland,Chicago,311.6
Chicago,Boston,855.9
Chicago,New+York+City,719.5
Chicago,Philadelphia,668.1
Chicago,Toronto,440.3
Toronto,Boston,433.1
Toronto,New+York+City,347.1
Toronto,Philadelphia,333.3
Philadelphia,Boston,267.7
Philadelphia,New+York+City,77.6
New+York+City,Boston,190.2
